generation,best_fitness,best_individual,mean_fitness,std_dev
1,-1.6053139024848138,"Individual(Real, fitness=-1.6053139024848138, values=[2.2500343487383545, 1.5038795085067524])",-0.375057008442235,0.4304126904494079
2,-1.6053139024848138,"Individual(Real, fitness=-1.6053139024848138, values=[2.2500343487383545, 1.5038795085067524])",-0.5369503534252962,0.444413227494315
3,-1.6839674665762572,"Individual(Real, fitness=-1.6839674665762572, values=[2.1137926186400406, 1.5635760081755947])",-0.7737844777314032,0.43441084641401523
4,-1.7810146062578966,"Individual(Real, fitness=-1.7810146062578966, values=[2.192522034800281, 1.5921492598034055])",-1.0002990035127601,0.41193798586427355
5,-1.7810146062578966,"Individual(Real, fitness=-1.7810146062578966, values=[2.192522034800281, 1.5921492598034055])",-1.3294648926434798,0.3579020770800123
6,-1.7960630566476472,"Individual(Real, fitness=-1.7960630566476472, values=[2.20764353918062, 1.559774019028747])",-1.5444558673324273,0.2884482369690521
7,-1.7960630566476472,"Individual(Real, fitness=-1.7960630566476472, values=[2.20764353918062, 1.559774019028747])",-1.662054732254552,0.17286282132524997
8,-1.7960630566476472,"Individual(Real, fitness=-1.7960630566476472, values=[2.20764353918062, 1.559774019028747])",-1.699705222034073,0.1786405477586824
9,-1.7960630566476472,"Individual(Real, fitness=-1.7960630566476472, values=[2.20764353918062, 1.559774019028747])",-1.7204169097430102,0.2157324158901344
10,-1.800090577244046,"Individual(Real, fitness=-1.800090577244046, values=[2.2000827869904507, 1.5759616394160763])",-1.7416561612315977,0.163577857337016
11,-1.8009418642954031,"Individual(Real, fitness=-1.8009418642954031, values=[2.2038631630855354, 1.5678678292224117])",-1.7118313008455002,0.35278297948674253
12,-1.8009418642954031,"Individual(Real, fitness=-1.8009418642954031, values=[2.2038631630855354, 1.5678678292224117])",-1.7176515227439966,0.2957616385134263
13,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.751529183282175,0.25943020239049047
14,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.748810217638352,0.2656010400625838
15,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7211977746149398,0.33487762036003954
16,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7526855819349574,0.2054217641447027
17,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.709765067126454,0.35696335986130645
18,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7166737766441602,0.3423066526869755
19,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7338090913418622,0.24117301811994074
20,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7741636176581044,0.13401150159639208
21,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.775847087212894,0.13742738193413584
22,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6400209645481842,0.4902921529910771
23,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7115305305523325,0.31293240389936594
24,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7395813605824029,0.26146753273980755
25,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7745310845819817,0.19631463328377133
26,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7395840223118788,0.28986463925409517
27,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7811926884172726,0.14069871869489642
28,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7223184550161006,0.33653904052999567
29,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7053924828613578,0.3528591544767207
30,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7129165345989348,0.33749060583887713
31,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7621588872930425,0.15947882184133988
32,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7456850645781752,0.27870193727375947
33,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7760696177509039,0.1367531628491042
34,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6817605896210706,0.3715677268741778
35,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6941835993209307,0.3800643911506702
36,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6784457390679857,0.3997941297092752
37,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7734654649872361,0.14140378163002162
38,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6130579293044873,0.5142437900482618
39,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6172449729047729,0.4791254205295414
40,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6877415224681633,0.3586252885195726
41,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7493354895584396,0.26429177164577583
42,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6909468738146758,0.34745261566909913
43,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7259969558691448,0.2943076587310184
44,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7780710409245468,0.09882276261384869
45,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7372267421574492,0.29216477246508066
46,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.772931040238745,0.13881390357224618
47,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7531862429556042,0.24637654617705426
48,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7626383048763774,0.2178191908630508
49,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7679592246942966,0.20868592014018406
50,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.791688858024389,0.06528474881717461
51,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7864164410234695,0.10741243613616537
52,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7560951254783044,0.1973372271065551
53,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.8012384170724858,5.249927783923519e-08
54,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.763950780497821,0.1636176646063836
55,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7621480474895295,0.2150132508056828
56,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7683196443007545,0.15420492557860693
57,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7552342111336656,0.2709874611356486
58,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.767158157239136,0.168220821623426
59,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7652546888165672,0.2189775137757495
60,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7352875512072896,0.2967858247186651
61,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7586604140683675,0.22218470422839456
62,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7395308061522425,0.2887363219281029
63,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7557212046861304,0.23194064283740637
64,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7466525352316322,0.27364773739236087
65,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6963934128766198,0.38915194111873447
66,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.746863755109287,0.27307946041477404
67,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7305442765410861,0.3230873212261929
68,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7479704739482715,0.2788471520963294
69,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7570451509359748,0.2650892570681741
70,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7057757995240466,0.3704612220222312
71,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7757160780207466,0.18412690320892303
72,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7077426319918665,0.3676106025838441
73,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.702664724724047,0.3563993879835648
74,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.711768695402493,0.37226447984390515
75,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7892849647061753,0.07246338678272768
76,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7774126775350145,0.13967939454991546
77,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7697228531308506,0.1529913617435861
78,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.767243436550779,0.20780637762514453
79,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7652337893013705,0.2533032921714212
80,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7530544597020936,0.26667546682478155
81,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7621143687837235,0.1921685662474171
82,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.760421431241335,0.20229807938180858
83,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.763168334579765,0.25384824857827304
84,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7735762807296407,0.1927699716715686
85,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.766779633159219,0.16720733111587996
86,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7220590739361834,0.31117071720030576
87,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.7469491857092252,0.27342191036144414
88,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.697217729109829,0.38290380895103987
89,-1.80123858862428,"Individual(Real, fitness=-1.80123858862428, values=[2.201972975037993, 1.5719147343192441])",-1.6960081672649947,0.39937183296135004
90,-1.8012520390094908,"Individual(Real, fitness=-1.8012520390094908, values=[2.2031097357260214, 1.5719147343312598])",-1.7463782667887648,0.25053769653404323
91,-1.8012520390094908,"Individual(Real, fitness=-1.8012520390094908, values=[2.2031097357260214, 1.5719147343312598])",-1.7419948640946985,0.2830574003161976
92,-1.8012520390094908,"Individual(Real, fitness=-1.8012520390094908, values=[2.2031097357260214, 1.5719147343312598])",-1.7746097764774948,0.140125346007769
93,-1.8012520390094908,"Individual(Real, fitness=-1.8012520390094908, values=[2.2031097357260214, 1.5719147343312598])",-1.7856831210107,0.11303233556068754
94,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.7456801196157148,0.2559585943541121
95,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.6945919845797945,0.4043429259269318
96,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.5829549813161226,0.5503982425955061
97,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.67683537135157,0.35874979225159087
98,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.7505914058049103,0.21705279172030903
99,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.7486228162273154,0.24108878507293646
100,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.7145321494352932,0.3453313738920392
101,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.769407338084834,0.15892561012120188
102,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.724093419322852,0.3460747989000261
103,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.7295326656272627,0.30077918500704637
104,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.7178493824822392,0.3691722978596933
105,-1.8012526129285962,"Individual(Real, fitness=-1.8012526129285962, values=[2.2028255455069665, 1.5719147343298039])",-1.6830878727252014,0.39360275750901946
