generation,best_fitness,best_individual,mean_fitness,std_dev
1,1609.0500148060405,"[21.041254474491538, 37.0103957322919, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -87.6668250925124, -17.763621091139953, 14.955178944044349, 47.16724542897427, 10.762274676538482, -29.588544879513947, -97.89986466270157, 36.57754058465255, -85.4951815249275, 90.25426745421694, -26.079714156277817, 53.24425749192281]",1609.9285885176405,0.27337682581663386
2,1609.0500148060405,"[21.041254474491538, 37.0103957322919, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -87.6668250925124, -17.763621091139953, 14.955178944044349, 47.16724542897427, 10.762274676538482, -29.588544879513947, -97.89986466270157, 36.57754058465255, -85.4951815249275, 90.25426745421694, -26.079714156277817, 53.24425749192281]",1609.9144164582513,0.2544364101618908
3,1609.0500148060405,"[21.041254474491538, 37.0103957322919, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -87.6668250925124, -17.763621091139953, 14.955178944044349, 47.16724542897427, 10.762274676538482, -29.588544879513947, -97.89986466270157, 36.57754058465255, -85.4951815249275, 90.25426745421694, -26.079714156277817, 53.24425749192281]",1609.8321567836965,0.35570909701125614
4,1609.0066447253384,"[44.2972358303883, -65.64764250302136, 47.97120573906133, 41.122255597196755, -96.94083154843089, 34.32668780006716, -37.26500477900174, -63.268300292434304, -19.42937379264029, 89.1724725494675, 87.5038387200465, 42.942489813926954, -52.9768919831201, 20.82647682932881, 4.061452308780304, -27.72322347370752, -133.2111174235397, 17.136950860609403, -121.74819390621394, 18.244346233528532]",1609.7691129075101,0.3123596104862168
5,1608.593411624483,"[44.2972358303883, -65.64764250302136, -23.24856701528725, -8.95368861182235, -96.94083154843089, 34.32668780006716, -37.26500477900174, -63.268300292434304, -87.6668250925124, -17.763621091139953, 14.955178944044349, 5.278666791094956, -16.02180193786357, -29.588544879513947, -70.31137734527269, -58.033828192616134, -5.908355794629202, 80.73861499755907, 19.969306802749216, 23.596267731460827]",1609.6929569838708,0.3339015789075052
6,1608.593411624483,"[44.2972358303883, -65.64764250302136, -23.24856701528725, -8.95368861182235, -96.94083154843089, 34.32668780006716, -37.26500477900174, -63.268300292434304, -87.6668250925124, -17.763621091139953, 14.955178944044349, 5.278666791094956, -16.02180193786357, -29.588544879513947, -70.31137734527269, -58.033828192616134, -5.908355794629202, 80.73861499755907, 19.969306802749216, 23.596267731460827]",1609.6467181635196,0.3854623280981295
7,1608.4627838925494,"[44.2972358303883, -65.64764250302136, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -129.5885278821944, -17.763621091139953, 10.366093949305082, -106.17813228696858, 10.762274676538482, -36.4723826751935, -39.11188787205923, 69.30740409200071, -86.79943696635381, 96.09165682248522, 3.220561243513373, 57.97340622588288]",1609.535786526104,0.4221183641133677
8,1608.4627838925494,"[44.2972358303883, -65.64764250302136, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -129.5885278821944, -17.763621091139953, 10.366093949305082, -106.17813228696858, 10.762274676538482, -36.4723826751935, -39.11188787205923, 69.30740409200071, -86.79943696635381, 96.09165682248522, 3.220561243513373, 57.97340622588288]",1609.5917885491622,0.44452890593519856
9,1608.4065914695443,"[-16.46874987037596, -65.64764250302136, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -129.5885278821944, -17.763621091139953, 10.366093949305082, -100.60215627877677, 10.762274676538482, -36.4723826751935, -39.11188787205923, 69.30740409200071, -86.79943696635381, 96.09165682248522, 3.220561243513373, 57.97340622588288]",1609.4282325635588,0.47657753260734537
10,1608.4065914695443,"[-16.46874987037596, -65.64764250302136, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -129.5885278821944, -17.763621091139953, 10.366093949305082, -100.60215627877677, 10.762274676538482, -36.4723826751935, -39.11188787205923, 69.30740409200071, -86.79943696635381, 96.09165682248522, 3.220561243513373, 57.97340622588288]",1609.535446973765,0.5253136596685528
11,1608.4065914695443,"[-16.46874987037596, -65.64764250302136, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -129.5885278821944, -17.763621091139953, 10.366093949305082, -100.60215627877677, 10.762274676538482, -36.4723826751935, -39.11188787205923, 69.30740409200071, -86.79943696635381, 96.09165682248522, 3.220561243513373, 57.97340622588288]",1609.5423728816238,0.4883785370899068
12,1608.4065914695443,"[-16.46874987037596, -65.64764250302136, -21.82197657460638, -17.55726160861768, -60.471771870728894, -78.02843703628047, 12.409522768349973, -80.02971366571163, -129.5885278821944, -17.763621091139953, 10.366093949305082, -100.60215627877677, 10.762274676538482, -36.4723826751935, -39.11188787205923, 69.30740409200071, -86.79943696635381, 96.09165682248522, 3.220561243513373, 57.97340622588288]",1609.4701174781364,0.4619961261700845
