generation,best_fitness,best_individual,mean_fitness,std_dev
1,-2.4716587387662523,"[1.7001271939242477, 1.6571423581147535, 1.3088794985078962, 1.8981505001554477, 1.4144274435635398]",-0.8771231330017506,0.5712081868245134
2,-2.650731003332957,"[2.158802236179541, 0.5172867755408238, 1.2546334184750243, 2.0876161330981433, 1.7280796380795636]",-1.1009258129705548,0.667894065146691
3,-2.650731003332957,"[2.158802236179541, 0.5172867755408238, 1.2546334184750243, 2.0876161330981433, 1.7280796380795636]",-1.1744895062277876,0.6851074950034368
4,-3.1327072048827613,"[2.1240406659890914, 1.6571423581147535, 1.3088794985078962, 2.0876161330981433, 2.2285552389127976]",-1.3699808559781,0.6496916559072392
5,-3.1327072048827613,"[2.1240406659890914, 1.6571423581147535, 1.3088794985078962, 2.0876161330981433, 2.2285552389127976]",-1.565185482200215,0.5905921945153765
6,-3.4600230898054942,"[2.1240406659890914, 1.3101034245276335, 1.3088794985078962, 1.8981505001554477, 1.7351977208676295]",-1.626701075064676,0.8214061410183688
7,-3.6406443029345645,"[2.0011221156359773, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7351977208676295]",-1.8917662808347488,0.7644712952364358
8,-3.6406443029345645,"[2.0011221156359773, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7351977208676295]",-1.9672256739136995,0.7850898441688755
9,-3.8789811484307,"[2.2428364333759796, 1.6571423581147535, 1.3701751714007493, 1.8981505001554477, 1.7280796380795636]",-2.20623337459719,0.6560618744984594
10,-3.954691550860037,"[2.2428364333759796, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 0.9931562154553025]",-2.31841902710259,0.7256862750090618
11,-3.954691550860037,"[2.2428364333759796, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 0.9931562154553025]",-2.3890450641421497,0.6240193071298646
12,-4.05735955115359,"[2.141695039186171, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.3323009629799576,0.7175002491504487
13,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.4283383120198474,0.6717201187585797
14,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.3948053803948612,0.7253131020982652
15,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.395571376823512,0.6636048904885589
16,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.420611513567847,0.751052993955837
17,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.457378197307186,0.5972688831483529
18,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.474965548832466,0.6676275625437874
19,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.521357623771818,0.644028301326702
20,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.5608917704028293,0.6419607287280843
21,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.539672170467096,0.5622074884116416
22,-4.084132183441925,"[2.158802236179541, 1.4559214948547983, 1.3088794985078962, 1.8981505001554477, 1.7280796380795636]",-2.655114226913548,0.6401918016382175
